ticker,last_price,bid_price,ask_price,SELL_CITY-T1,SELL_CITY-D,SELL_CITY-P,BUY_CITY-P,SELL_CITY-T2,SELL_ANON,BUY_ANON,BUY_CITY-T1,BUY_CITY-D,tick,timestamp
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,10,2026-02-02 23:59:02.947232
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,10,2026-02-02 23:59:02.947232
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,11,2026-02-02 23:59:03.977034
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,12,2026-02-02 23:59:05.078954
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,13,2026-02-02 23:59:05.669613
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,14,2026-02-02 23:59:06.711395
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,15,2026-02-02 23:59:07.742794
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,16,2026-02-02 23:59:08.787428
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,17,2026-02-02 23:59:09.822206
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,18,2026-02-02 23:59:10.860527
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,19,2026-02-02 23:59:11.894760
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,20,2026-02-02 23:59:12.926977
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,21,2026-02-02 23:59:13.961274
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,22,2026-02-02 23:59:14.998019
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,23,2026-02-02 23:59:16.032452
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,24,2026-02-02 23:59:17.057767
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,25,2026-02-02 23:59:18.087314
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,26,2026-02-02 23:59:18.672802
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,27,2026-02-02 23:59:19.787750
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,28,2026-02-02 23:59:20.817179
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,29,2026-02-02 23:59:21.846754
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,30,2026-02-02 23:59:22.877294
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,31,2026-02-02 23:59:23.906034
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,32,2026-02-02 23:59:24.938823
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,33,2026-02-02 23:59:25.970188
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,34,2026-02-02 23:59:27.005923
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,35,2026-02-02 23:59:28.042680
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,35,2026-02-02 23:59:28.042680
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,35,2026-02-02 23:59:28.042680
