ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-2,BUY_GIOT-2,tick,timestamp
COMP,25.03,25.0,25.03,134400.0,142100.0,0,0,18,2026-02-02 22:59:53.977095
RITC,9.85,9.85,9.89,107000.0,202700.0,0,0,19,2026-02-02 22:59:55.014514
COMP,25.03,25.02,25.03,133400.0,142100.0,0,0,19,2026-02-02 22:59:55.014514
RITC,9.85,9.85,9.87,107000.0,203900.0,0,0,20,2026-02-02 22:59:56.052189
COMP,25.03,25.02,25.03,133400.0,142100.0,0,0,20,2026-02-02 22:59:56.052189
RITC,9.87,9.85,9.87,107000.0,206500.0,0,0,21,2026-02-02 22:59:57.095095
COMP,25.03,25.02,25.03,133400.0,145100.0,0,0,21,2026-02-02 22:59:57.095095
RITC,9.85,9.85,9.87,107000.0,207100.0,0,0,22,2026-02-02 22:59:58.134175
COMP,25.03,25.02,25.03,133400.0,144700.0,0,0,22,2026-02-02 22:59:58.134175
RITC,9.84,9.84,9.85,108700.0,210200.0,0,0,23,2026-02-02 22:59:59.170499
COMP,25.03,25.02,25.03,135300.0,145200.0,0,0,23,2026-02-02 22:59:59.170499
RITC,9.87,9.84,9.87,120300.0,208400.0,0,0,24,2026-02-02 23:00:00.193687
COMP,25.03,25.02,25.03,135200.0,145200.0,0,0,24,2026-02-02 23:00:00.193687
RITC,9.87,9.84,9.87,142600.0,208400.0,0,0,25,2026-02-02 23:00:01.234002
COMP,25.04,25.02,25.04,135200.0,145600.0,0,0,25,2026-02-02 23:00:01.234002
RITC,9.87,9.85,9.87,163100.0,208400.0,0,0,26,2026-02-02 23:00:02.275053
COMP,25.02,25.02,25.04,134800.0,145600.0,0,0,26,2026-02-02 23:00:02.275053
RITC,9.88,9.85,9.88,163100.0,206300.0,0,0,27,2026-02-02 23:00:02.813911
COMP,25.02,25.02,25.04,134800.0,144300.0,0,0,27,2026-02-02 23:00:02.813911
RITC,9.88,9.86,9.88,184200.0,206300.0,0,0,28,2026-02-02 23:00:03.892864
COMP,25.02,25.02,25.04,134800.0,144300.0,0,0,28,2026-02-02 23:00:03.892864
RITC,9.88,9.87,9.88,204800.0,206300.0,0,0,29,2026-02-02 23:00:04.926141
COMP,25.02,25.0,25.01,132900.0,144500.0,0,0,29,2026-02-02 23:00:04.926141
RITC,9.89,9.89,9.9,211700.0,205400.0,0,0,30,2026-02-02 23:00:05.958143
COMP,25.02,25.0,25.01,135000.0,147200.0,0,0,30,2026-02-02 23:00:05.958143
RITC,9.9,9.89,9.9,209600.0,205400.0,0,0,31,2026-02-02 23:00:07.021885
COMP,25.0,25.0,25.01,132900.0,147200.0,0,0,31,2026-02-02 23:00:07.021885
RITC,9.91,9.89,9.91,209600.0,204000.0,0,0,32,2026-02-02 23:00:08.047600
COMP,24.98,24.98,25.01,132900.0,146400.0,0,0,32,2026-02-02 23:00:08.047600
RITC,9.91,9.9,9.91,207000.0,204000.0,0,0,33,2026-02-02 23:00:09.069313
COMP,24.98,24.98,25.01,132900.0,146400.0,0,0,33,2026-02-02 23:00:09.069313
RITC,9.91,9.91,9.92,202400.0,203800.0,0,0,34,2026-02-02 23:00:10.100123
COMP,25.02,24.97,25.02,131200.0,148400.0,0,0,34,2026-02-02 23:00:10.100123
RITC,9.92,9.91,9.92,202400.0,203800.0,0,0,35,2026-02-02 23:00:11.142379
COMP,25.02,25.01,25.02,129500.0,148400.0,0,0,35,2026-02-02 23:00:11.142379
RITC,9.92,9.92,9.93,204000.0,199600.0,0,0,36,2026-02-02 23:00:12.166319
COMP,25.02,25.01,25.02,131200.0,148400.0,0,0,36,2026-02-02 23:00:12.166319
RITC,9.92,9.92,9.93,198300.0,199600.0,0,0,37,2026-02-02 23:00:13.200776
COMP,25.02,24.97,25.02,131200.0,148400.0,0,0,37,2026-02-02 23:00:13.200776
RITC,9.92,9.92,9.93,198200.0,199600.0,0,0,38,2026-02-02 23:00:14.233362
COMP,25.04,24.97,25.04,131200.0,146600.0,0,0,38,2026-02-02 23:00:14.233362
RITC,9.93,9.92,9.93,197000.0,201900.0,0,0,39,2026-02-02 23:00:15.272687
COMP,25.04,25.02,25.04,130100.0,146600.0,0,0,39,2026-02-02 23:00:15.272687
RITC,9.93,9.92,9.93,193900.0,198900.0,0,0,40,2026-02-02 23:00:16.314554
COMP,25.04,25.04,25.05,133100.0,144300.0,0,0,40,2026-02-02 23:00:16.314554
RITC,9.93,9.92,9.93,193900.0,198900.0,0,0,41,2026-02-02 23:00:16.849171
COMP,25.04,25.04,25.05,133100.0,144300.0,0,0,41,2026-02-02 23:00:16.849171
RITC,9.94,9.92,9.94,193900.0,197500.0,0,0,42,2026-02-02 23:00:17.898875
COMP,25.05,25.04,25.05,133100.0,143100.0,0,0,42,2026-02-02 23:00:17.898875
RITC,9.95,9.95,9.96,192900.0,196300.0,0,0,43,2026-02-02 23:00:18.964336
COMP,25.08,25.04,25.08,133100.0,142200.0,0,0,43,2026-02-02 23:00:18.964336
RITC,9.96,9.95,9.96,192900.0,195200.0,0,0,44,2026-02-02 23:00:20.044526
COMP,25.08,25.04,25.08,133100.0,143000.0,0,0,44,2026-02-02 23:00:20.044526
RITC,9.96,9.95,9.96,195100.0,195200.0,0,0,45,2026-02-02 23:00:21.073408
COMP,25.08,25.04,25.08,134300.0,143800.0,0,0,45,2026-02-02 23:00:21.073408
RITC,9.96,9.96,9.97,193300.0,191700.0,0,0,46,2026-02-02 23:00:22.102130
COMP,25.04,25.03,25.08,132600.0,145300.0,0,0,46,2026-02-02 23:00:22.102130
RITC,9.97,9.96,9.97,192400.0,189000.0,0,0,47,2026-02-02 23:00:23.131282
COMP,25.04,25.03,25.04,132600.0,145300.0,0,0,47,2026-02-02 23:00:23.131282
RITC,9.96,9.96,9.97,193000.0,191700.0,0,0,48,2026-02-02 23:00:24.166764
COMP,25.08,25.05,25.08,133200.0,144600.0,0,0,48,2026-02-02 23:00:24.166764
RITC,9.98,9.96,9.98,193000.0,190500.0,0,0,49,2026-02-02 23:00:25.204298
COMP,25.08,25.05,25.08,133700.0,144600.0,0,0,49,2026-02-02 23:00:25.204298
RITC,9.96,9.96,9.98,196100.0,190500.0,0,0,50,2026-02-02 23:00:26.232386
COMP,25.08,25.05,25.08,133700.0,143800.0,0,0,50,2026-02-02 23:00:26.232386
RITC,9.96,9.96,9.98,198700.0,190500.0,0,0,51,2026-02-02 23:00:27.258586
COMP,25.08,25.05,25.08,135200.0,143800.0,0,0,51,2026-02-02 23:00:27.258586
RITC,9.96,9.96,9.98,196500.0,190500.0,0,0,52,2026-02-02 23:00:28.293816
COMP,25.03,25.03,25.08,135400.0,143800.0,0,0,52,2026-02-02 23:00:28.293816
RITC,9.98,9.96,9.98,196500.0,191100.0,0,0,53,2026-02-02 23:00:29.333018
COMP,25.03,25.07,25.08,135800.0,143800.0,0,0,53,2026-02-02 23:00:29.333018
RITC,9.98,9.96,9.98,196500.0,191400.0,0,0,54,2026-02-02 23:00:30.359843
COMP,25.08,25.07,25.08,135800.0,144500.0,0,0,54,2026-02-02 23:00:30.359843
RITC,9.98,9.97,9.98,200100.0,191400.0,0,0,55,2026-02-02 23:00:30.941909
COMP,25.09,25.07,25.09,135800.0,143700.0,0,0,55,2026-02-02 23:00:30.941909
RITC,9.98,9.97,9.98,200100.0,189000.0,0,0,56,2026-02-02 23:00:32.038325
COMP,25.09,25.07,25.09,135800.0,143700.0,0,0,56,2026-02-02 23:00:32.038325
RITC,9.98,9.97,9.98,203400.0,189200.0,0,0,57,2026-02-02 23:00:33.077569
COMP,25.09,25.08,25.09,135400.0,143700.0,0,0,57,2026-02-02 23:00:33.077569
RITC,9.97,9.97,9.98,200700.0,189200.0,0,0,58,2026-02-02 23:00:34.124999
COMP,25.09,25.08,25.09,135400.0,144900.0,0,0,58,2026-02-02 23:00:34.124999
RITC,9.96,9.96,9.98,196500.0,189200.0,0,0,59,2026-02-02 23:00:35.155475
COMP,25.09,25.08,25.09,135400.0,144800.0,0,0,59,2026-02-02 23:00:35.155475
RITC,9.98,9.97,9.98,197200.0,189900.0,0,0,60,2026-02-02 23:00:36.180937
COMP,25.09,25.09,25.1,136100.0,144700.0,0,0,60,2026-02-02 23:00:36.180937
RITC,9.98,9.98,10.0,197500.0,189900.0,0,0,61,2026-02-02 23:00:37.205785
COMP,25.09,25.09,25.1,135100.0,144700.0,0,0,61,2026-02-02 23:00:37.205785
RITC,10.0,9.96,10.0,196500.0,190100.0,0,0,62,2026-02-02 23:00:38.238158
COMP,25.09,25.09,25.1,135300.0,144700.0,0,0,62,2026-02-02 23:00:38.238158
RITC,10.0,10.0,10.01,200000.0,195000.0,0,0,63,2026-02-02 23:00:39.270116
COMP,25.09,25.09,25.1,134700.0,144700.0,0,0,63,2026-02-02 23:00:39.270116
RITC,10.02,10.01,10.02,201300.0,196800.0,0,0,64,2026-02-02 23:00:40.302602
COMP,25.09,25.09,25.1,134700.0,144700.0,0,0,64,2026-02-02 23:00:40.302602
RITC,10.02,10.02,10.03,203000.0,197900.0,0,0,65,2026-02-02 23:00:41.338541
COMP,25.09,25.09,25.1,134800.0,144700.0,0,0,65,2026-02-02 23:00:41.338541
RITC,10.03,10.02,10.03,203000.0,197900.0,0,0,66,2026-02-02 23:00:42.005399
COMP,25.09,25.09,25.1,136900.0,144700.0,0,0,66,2026-02-02 23:00:42.005399
RITC,10.03,10.02,10.03,204300.0,197400.0,0,0,67,2026-02-02 23:00:43.049279
COMP,25.09,25.09,25.1,138400.0,144700.0,0,0,67,2026-02-02 23:00:43.049279
RITC,10.03,10.02,10.03,207200.0,198600.0,0,0,68,2026-02-02 23:00:44.119601
COMP,25.09,25.09,25.1,136900.0,144700.0,0,0,68,2026-02-02 23:00:44.119601
RITC,10.03,10.02,10.03,207200.0,198600.0,0,0,69,2026-02-02 23:00:45.175783
COMP,25.09,25.09,25.1,138000.0,144700.0,0,0,69,2026-02-02 23:00:45.175783
RITC,10.04,10.02,10.04,207200.0,197600.0,0,0,70,2026-02-02 23:00:46.220062
COMP,25.1,25.09,25.1,138600.0,144700.0,0,0,70,2026-02-02 23:00:46.220062
RITC,10.04,10.03,10.04,209000.0,195400.0,0,0,71,2026-02-02 23:00:47.254462
COMP,25.1,25.09,25.1,139500.0,144700.0,0,0,71,2026-02-02 23:00:47.254462
RITC,10.04,10.03,10.04,209500.0,196400.0,0,0,72,2026-02-02 23:00:48.294290
COMP,25.1,25.09,25.1,139500.0,143300.0,0,0,72,2026-02-02 23:00:48.294290
RITC,10.04,10.04,10.05,210800.0,192800.0,0,0,73,2026-02-02 23:00:49.330711
COMP,25.11,25.09,25.11,139500.0,142700.0,0,0,73,2026-02-02 23:00:49.330711
RITC,10.05,10.04,10.05,213800.0,184100.0,0,0,74,2026-02-02 23:00:50.362117
COMP,25.11,25.09,25.11,139500.0,142400.0,0,0,74,2026-02-02 23:00:50.362117
RITC,10.04,10.04,10.06,210400.0,175300.0,0,0,75,2026-02-02 23:00:51.416093
COMP,25.11,25.09,25.11,137600.0,142400.0,0,0,75,2026-02-02 23:00:51.416093
RITC,10.04,10.04,10.06,212500.0,184200.0,0,0,76,2026-02-02 23:00:52.451621
COMP,25.11,25.09,25.11,138000.0,141100.0,0,0,76,2026-02-02 23:00:52.451621
RITC,10.07,10.04,10.07,212500.0,165000.0,0,0,77,2026-02-02 23:00:53.491465
COMP,25.11,25.09,25.11,138000.0,141100.0,0,0,77,2026-02-02 23:00:53.491465
RITC,10.07,10.04,10.05,212500.0,174300.0,0,0,78,2026-02-02 23:00:54.083940
COMP,25.09,25.09,25.11,137000.0,141100.0,0,0,78,2026-02-02 23:00:54.083940
RITC,9.96,10.06,10.07,214700.0,165000.0,0,0,79,2026-02-02 23:00:55.193390
COMP,25.09,25.09,25.11,137300.0,141100.0,0,0,79,2026-02-02 23:00:55.193390
RITC,10.07,10.06,10.07,215700.0,155100.0,10000.0,0,80,2026-02-02 23:00:56.267653
COMP,25.11,25.09,25.11,137300.0,142700.0,,0,80,2026-02-02 23:00:56.267653
RITC,10.07,10.06,10.07,215700.0,10000.0,151800.0,0,81,2026-02-02 23:00:57.296817
COMP,25.11,25.11,25.12,135300.0,,134700.0,0,81,2026-02-02 23:00:57.296817
RITC,10.03,10.03,10.07,213000.0,10000.0,151800.0,0,82,2026-02-02 23:00:58.327490
COMP,25.11,25.09,25.11,136000.0,,142100.0,0,82,2026-02-02 23:00:58.327490
RITC,10.03,10.03,10.05,209800.0,159800.0,0,0,83,2026-02-02 23:00:59.376649
COMP,25.09,25.09,25.11,137500.0,142100.0,0,0,83,2026-02-02 23:00:59.376649
RITC,10.02,10.02,10.05,207100.0,179100.0,0,0,84,2026-02-02 23:01:00.498479
COMP,25.08,25.08,25.11,137200.0,143200.0,0,0,84,2026-02-02 23:01:00.498479
RITC,10.02,10.02,10.04,203300.0,187900.0,0,0,85,2026-02-02 23:01:01.118765
COMP,25.08,25.08,25.11,136300.0,143200.0,0,0,85,2026-02-02 23:01:01.118765
RITC,10.05,10.01,10.05,201900.0,179100.0,0,0,86,2026-02-02 23:01:02.344539
COMP,25.08,25.08,25.11,135800.0,143200.0,0,0,86,2026-02-02 23:01:02.344539
RITC,10.01,10.01,10.04,201400.0,189800.0,0,0,87,2026-02-02 23:01:03.434895
COMP,25.12,25.07,25.12,135700.0,142100.0,0,0,87,2026-02-02 23:01:03.434895
RITC,10.01,10.01,10.04,201400.0,199300.0,0,0,88,2026-02-02 23:01:04.457416
COMP,25.07,25.07,25.12,136700.0,142100.0,0,0,88,2026-02-02 23:01:04.457416
RITC,10.01,10.02,10.04,199900.0,197800.0,0,0,89,2026-02-02 23:01:05.494154
COMP,25.07,25.07,25.12,136700.0,145200.0,0,0,89,2026-02-02 23:01:05.494154
RITC,10.01,10.02,10.04,203300.0,197800.0,0,0,90,2026-02-02 23:01:06.517815
COMP,25.07,25.07,25.12,136700.0,144700.0,0,0,90,2026-02-02 23:01:06.517815
RITC,10.02,10.02,10.03,203100.0,199800.0,0,0,91,2026-02-02 23:01:07.559075
COMP,25.07,25.06,25.07,134700.0,143900.0,0,0,91,2026-02-02 23:01:07.559075
RITC,10.03,10.02,10.03,203100.0,199900.0,0,0,92,2026-02-02 23:01:08.095756
COMP,25.07,25.06,25.07,134900.0,143900.0,0,0,92,2026-02-02 23:01:08.095756
RITC,10.02,10.01,10.02,203200.0,201900.0,0,0,93,2026-02-02 23:01:09.159568
COMP,25.06,25.06,25.07,134600.0,143900.0,0,0,93,2026-02-02 23:01:09.159568
RITC,10.02,10.01,10.02,203200.0,201200.0,0,0,94,2026-02-02 23:01:10.194763
COMP,25.08,25.06,25.08,132800.0,144600.0,0,0,94,2026-02-02 23:01:10.194763
RITC,10.01,10.01,10.02,202900.0,200600.0,0,0,95,2026-02-02 23:01:11.232358
COMP,25.08,25.06,25.07,132800.0,143800.0,0,0,95,2026-02-02 23:01:11.232358
RITC,10.01,10.01,10.02,202600.0,199800.0,0,0,96,2026-02-02 23:01:12.262015
COMP,25.08,25.06,25.07,132800.0,142200.0,0,0,96,2026-02-02 23:01:12.262015
RITC,10.01,10.0,10.01,200000.0,198800.0,0,0,97,2026-02-02 23:01:13.294884
COMP,25.08,25.06,25.07,132800.0,140900.0,0,0,97,2026-02-02 23:01:13.294884
RITC,10.01,10.0,10.01,200000.0,201000.0,0,0,98,2026-02-02 23:01:14.322541
COMP,25.06,25.06,25.07,132000.0,140900.0,0,0,98,2026-02-02 23:01:14.322541
RITC,10.0,9.96,9.99,196500.0,201400.0,0,0,99,2026-02-02 23:01:15.346667
COMP,25.06,25.06,25.07,130700.0,140900.0,0,0,99,2026-02-02 23:01:15.346667
RITC,9.96,9.95,9.96,197100.0,202200.0,0,0,100,2026-02-02 23:01:16.373493
COMP,25.06,25.06,25.07,130700.0,141300.0,0,0,100,2026-02-02 23:01:16.373493
RITC,9.94,9.94,9.96,195800.0,202200.0,0,0,101,2026-02-02 23:01:17.405686
COMP,25.04,25.04,25.07,130800.0,141300.0,0,0,101,2026-02-02 23:01:17.405686
RITC,9.94,9.94,9.96,195600.0,201500.0,0,0,102,2026-02-02 23:01:18.436765
COMP,25.04,25.04,25.06,130800.0,144000.0,0,0,102,2026-02-02 23:01:18.436765
RITC,9.96,9.95,9.96,196500.0,200600.0,0,0,103,2026-02-02 23:01:19.463894
COMP,25.04,25.04,25.06,130800.0,144000.0,0,0,103,2026-02-02 23:01:19.463894
RITC,9.94,9.94,9.96,195600.0,200600.0,0,0,104,2026-02-02 23:01:20.496414
COMP,25.03,25.03,25.06,132900.0,144000.0,0,0,104,2026-02-02 23:01:20.496414
RITC,9.98,9.94,9.98,195600.0,201700.0,0,0,105,2026-02-02 23:01:21.531820
COMP,25.03,25.04,25.06,132600.0,144000.0,0,0,105,2026-02-02 23:01:21.531820
RITC,9.97,9.97,9.98,196900.0,201700.0,0,0,106,2026-02-02 23:01:22.567596
COMP,25.04,25.04,25.06,132600.0,144000.0,0,0,106,2026-02-02 23:01:22.567596
RITC,9.94,9.94,9.99,196000.0,201400.0,0,0,107,2026-02-02 23:01:23.599277
COMP,25.04,25.04,25.06,132600.0,144000.0,0,0,107,2026-02-02 23:01:23.599277
RITC,9.92,9.92,9.94,191700.0,199500.0,0,0,108,2026-02-02 23:01:24.633083
COMP,25.07,25.04,25.07,132600.0,139700.0,0,0,108,2026-02-02 23:01:24.633083
RITC,9.94,9.98,9.99,192900.0,201400.0,0,0,109,2026-02-02 23:01:25.173487
COMP,25.1,25.04,25.1,132600.0,139100.0,0,0,109,2026-02-02 23:01:25.173487
RITC,9.99,10.0,10.01,193400.0,201000.0,0,0,110,2026-02-02 23:01:26.227372
COMP,25.1,25.1,25.11,133000.0,139300.0,0,0,110,2026-02-02 23:01:26.227372
RITC,10.01,10.0,10.01,192800.0,199300.0,0,0,111,2026-02-02 23:01:27.268141
COMP,25.1,25.1,25.11,131800.0,139300.0,0,0,111,2026-02-02 23:01:27.268141
RITC,10.02,10.0,10.01,192800.0,200400.0,0,0,112,2026-02-02 23:01:28.310781
COMP,25.12,25.1,25.12,131800.0,139800.0,0,0,112,2026-02-02 23:01:28.310781
RITC,10.02,10.0,10.01,192800.0,201200.0,0,0,113,2026-02-02 23:01:29.351408
COMP,25.12,25.1,25.12,131800.0,142000.0,0,0,113,2026-02-02 23:01:29.351408
RITC,10.01,10.0,10.01,194300.0,201200.0,0,0,114,2026-02-02 23:01:30.376398
COMP,25.12,25.1,25.12,132600.0,144000.0,0,0,114,2026-02-02 23:01:30.376398
RITC,10.0,10.0,10.01,192100.0,201200.0,0,0,115,2026-02-02 23:01:31.410336
COMP,25.12,25.1,25.12,133000.0,146200.0,0,0,115,2026-02-02 23:01:31.410336
RITC,10.01,10.0,10.01,192100.0,201800.0,0,0,116,2026-02-02 23:01:32.436757
COMP,25.14,25.1,25.14,133000.0,146700.0,0,0,116,2026-02-02 23:01:32.436757
RITC,9.99,9.99,10.01,191200.0,201800.0,0,0,117,2026-02-02 23:01:33.471449
COMP,25.14,25.1,25.14,132700.0,146700.0,0,0,117,2026-02-02 23:01:33.471449
RITC,10.01,9.99,10.0,190900.0,202300.0,0,0,118,2026-02-02 23:01:34.498127
COMP,25.14,25.1,25.14,132700.0,145900.0,0,0,118,2026-02-02 23:01:34.498127
RITC,9.99,9.98,9.99,190200.0,203800.0,0,0,119,2026-02-02 23:01:35.523632
COMP,25.14,25.1,25.14,133900.0,145900.0,0,0,119,2026-02-02 23:01:35.523632
RITC,9.98,9.95,9.98,192500.0,204000.0,0,0,120,2026-02-02 23:01:36.548983
COMP,25.16,25.1,25.16,133900.0,146800.0,0,0,120,2026-02-02 23:01:36.548983
RITC,9.98,9.96,9.97,193400.0,202600.0,0,0,121,2026-02-02 23:01:37.577115
COMP,25.16,25.15,25.16,135100.0,146800.0,0,0,121,2026-02-02 23:01:37.577115
RITC,9.98,9.96,9.97,193400.0,203400.0,0,0,122,2026-02-02 23:01:38.601293
COMP,25.16,25.15,25.16,135100.0,145000.0,0,0,122,2026-02-02 23:01:38.601293
RITC,9.96,9.96,9.97,193400.0,203400.0,0,0,123,2026-02-02 23:01:39.629118
COMP,25.16,25.15,25.16,135100.0,143600.0,0,0,123,2026-02-02 23:01:39.629118
RITC,9.95,9.92,9.95,191700.0,205800.0,0,0,124,2026-02-02 23:01:40.661159
COMP,25.16,25.15,25.16,134700.0,143600.0,0,0,124,2026-02-02 23:01:40.661159
RITC,9.95,9.92,9.94,191700.0,207500.0,0,0,125,2026-02-02 23:01:41.700526
COMP,25.16,25.15,25.16,136400.0,143600.0,0,0,125,2026-02-02 23:01:41.700526
RITC,9.92,9.92,9.94,188800.0,207500.0,0,0,126,2026-02-02 23:01:42.275552
COMP,25.15,25.15,25.16,136400.0,143600.0,0,0,126,2026-02-02 23:01:42.275552
RITC,9.92,9.92,9.94,190100.0,211000.0,0,0,127,2026-02-02 23:01:43.340666
COMP,25.16,25.15,25.16,136400.0,143500.0,0,0,127,2026-02-02 23:01:43.340666
RITC,9.93,9.92,9.93,190100.0,213600.0,0,0,128,2026-02-02 23:01:44.365532
COMP,25.17,25.15,25.17,135500.0,137700.0,0,0,128,2026-02-02 23:01:44.365532
RITC,9.93,9.92,9.93,190100.0,213200.0,0,0,129,2026-02-02 23:01:45.385720
COMP,25.17,25.15,25.17,135500.0,131500.0,0,0,129,2026-02-02 23:01:45.385720
RITC,9.92,9.92,9.94,190100.0,214300.0,0,0,130,2026-02-02 23:01:46.411137
COMP,25.18,25.15,25.18,135900.0,124800.0,0,0,130,2026-02-02 23:01:46.411137
RITC,9.92,9.91,9.92,190400.0,214000.0,0,0,131,2026-02-02 23:01:47.440338
COMP,24.98,25.15,25.18,135900.0,130700.0,0,0,131,2026-02-02 23:01:47.440338
RITC,9.92,9.91,9.92,190400.0,211600.0,0,0,132,2026-02-02 23:01:48.478249
COMP,25.19,25.15,25.19,134600.0,123200.0,0,0,132,2026-02-02 23:01:48.478249
RITC,9.91,9.91,9.92,194300.0,211600.0,0,0,133,2026-02-02 23:01:49.522701
COMP,25.15,25.12,25.13,134600.0,131400.0,0,0,133,2026-02-02 23:01:49.522701
RITC,9.91,9.91,9.92,195500.0,212400.0,0,0,134,2026-02-02 23:01:50.549178
COMP,25.19,25.14,25.19,135400.0,115300.0,0,0,134,2026-02-02 23:01:50.549178
RITC,9.91,9.91,9.92,196900.0,212400.0,0,0,135,2026-02-02 23:01:51.577500
COMP,25.19,25.14,25.19,133300.0,115300.0,0,0,135,2026-02-02 23:01:51.577500
RITC,9.9,9.9,9.92,196200.0,212400.0,0,0,136,2026-02-02 23:01:52.609380
COMP,25.19,25.14,25.19,133400.0,115300.0,0,0,136,2026-02-02 23:01:52.609380
RITC,9.9,9.9,9.92,199200.0,210600.0,0,0,137,2026-02-02 23:01:53.631730
COMP,25.2,25.14,25.2,133400.0,107000.0,0,0,137,2026-02-02 23:01:53.631730
RITC,9.9,9.9,9.92,199200.0,209900.0,0,0,138,2026-02-02 23:01:54.658179
COMP,25.2,25.14,25.2,135000.0,107000.0,0,0,138,2026-02-02 23:01:54.658179
RITC,9.9,9.9,9.92,199200.0,209900.0,,0,139,2026-02-02 23:01:55.686060
COMP,25.2,25.19,25.2,135300.0,99100.0,15000.0,0,139,2026-02-02 23:01:55.686060
RITC,9.88,9.88,9.9,204800.0,212700.0,,0,140,2026-02-02 23:01:56.721161
COMP,25.2,25.19,25.2,135300.0,93500.0,15000.0,0,140,2026-02-02 23:01:56.721161
RITC,9.88,9.88,9.89,204800.0,214600.0,,0,141,2026-02-02 23:01:57.755064
COMP,25.2,25.19,25.2,135100.0,93500.0,15000.0,0,141,2026-02-02 23:01:57.755064
RITC,9.88,9.88,9.89,204800.0,210300.0,,0,142,2026-02-02 23:01:58.783718
COMP,25.2,25.19,25.2,133400.0,93500.0,15000.0,0,142,2026-02-02 23:01:58.783718
RITC,9.87,9.87,9.89,207100.0,210300.0,,0,143,2026-02-02 23:01:59.809760
