ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,SELL_WRSW-6,BUY_OTWA-1,BUY_WRSW-6,tick,timestamp
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
SPK,52.79,52.79,0.0,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
EEC,48.01,0.0,48.01,50000000.0,50000000.0,0,0,0,0,0,0,1,2026-02-03 23:31:52.125593,,,,,,
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
PHR,47.48,47.47,47.49,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
BYL,43.86,43.85,43.87,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
CLD,79.83,79.82,79.84,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
GGD,31.49,31.48,31.5,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
PNR,59.9,59.89,59.91,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
FSR,30.64,30.63,30.65,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
ATB,62.28,62.27,62.29,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
SPK,52.77,52.76,52.78,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
EEC,47.98,47.97,47.99,50000000.0,50000000.0,0,0,0,0,0,0,2,2026-02-03 23:31:52.709620
TGX,43.69,43.68,43.7,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
PHR,47.59,47.58,47.6,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
BYL,43.94,43.93,43.95,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
CLD,80.03,80.02,80.04,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
GGD,31.48,31.47,31.49,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
PNR,59.73,59.72,59.74,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
FSR,30.56,30.55,30.57,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
ATB,62.24,62.23,62.25,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
SPK,52.82,52.81,52.83,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
EEC,48.04,48.03,48.05,50000000.0,50000000.0,0,0,0,0,0,0,3,2026-02-03 23:31:53.767318
TGX,43.66,43.65,43.67,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
PHR,47.78,47.77,47.79,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
BYL,43.93,43.92,43.94,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
CLD,79.96,79.95,79.97,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
GGD,31.44,31.43,31.45,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
PNR,59.84,59.83,59.85,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
FSR,30.6,30.59,30.61,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
ATB,62.28,62.27,62.29,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
SPK,52.87,52.86,52.88,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
EEC,48.12,48.11,48.13,50000000.0,50000000.0,0,0,0,0,0,0,4,2026-02-03 23:31:54.818417
TGX,43.6,43.59,43.61,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
PHR,47.98,47.97,47.99,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
BYL,44.13,44.12,44.14,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
CLD,80.38,80.37,80.39,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
GGD,31.41,31.4,31.42,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
PNR,59.75,59.74,59.76,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
FSR,30.65,30.64,30.66,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
ATB,62.31,62.3,62.32,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
SPK,52.8,52.79,52.81,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
EEC,48.01,48.0,48.02,50000000.0,50000000.0,0,0,0,0,0,0,5,2026-02-03 23:31:55.889632
TGX,43.7,43.69,43.71,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
PHR,47.76,47.75,47.77,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
BYL,44.14,44.13,44.15,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
CLD,80.37,80.36,80.38,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
GGD,31.44,31.43,31.45,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
PNR,59.69,59.68,59.7,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
FSR,30.72,30.71,30.73,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
ATB,62.47,62.46,62.48,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
SPK,52.67,52.66,52.68,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
EEC,47.79,47.78,47.8,50000000.0,50000000.0,0,0,0,0,0,0,6,2026-02-03 23:31:56.962462
TGX,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
PHR,47.76,47.75,47.77,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
BYL,44.27,44.26,44.28,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
CLD,80.65,80.64,80.66,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
GGD,31.39,31.38,31.4,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
PNR,59.63,59.62,59.64,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
FSR,30.74,30.73,30.75,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
ATB,62.46,62.45,62.47,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
SPK,52.7,52.69,52.71,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
EEC,47.74,47.73,47.75,50000000.0,50000000.0,0,0,0,0,0,0,7,2026-02-03 23:31:58.052487
TGX,43.66,43.65,43.67,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
PHR,47.71,47.7,47.72,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
BYL,44.14,44.13,44.15,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
CLD,80.6,80.59,80.61,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
GGD,31.39,31.38,31.4,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
PNR,59.73,59.72,59.74,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
FSR,30.72,30.71,30.73,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
ATB,62.67,62.66,62.68,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
SPK,52.72,52.71,52.73,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
EEC,47.74,47.73,47.75,50000000.0,50000000.0,0,0,0,0,0,0,8,2026-02-03 23:31:58.646553
TGX,43.63,43.62,43.64,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
PHR,47.63,47.62,47.64,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
BYL,43.79,43.78,43.8,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
CLD,79.92,79.91,79.93,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
GGD,31.34,31.33,31.35,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
PNR,59.7,59.69,59.71,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
FSR,30.74,30.73,30.75,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
ATB,62.79,62.78,62.8,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
SPK,52.73,52.72,52.74,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
EEC,47.72,47.71,47.73,50000000.0,50000000.0,0,0,0,0,0,0,9,2026-02-03 23:31:59.698784
TGX,43.6,43.59,43.61,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
PHR,47.46,47.45,47.47,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
BYL,43.64,43.63,43.65,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
CLD,79.6,79.59,79.61,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
GGD,31.34,31.33,31.35,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
PNR,59.68,59.67,59.69,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
FSR,30.79,30.78,30.8,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
ATB,62.98,62.97,62.99,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
SPK,52.86,52.85,52.87,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
EEC,47.84,47.83,47.85,50000000.0,50000000.0,0,0,0,0,0,0,10,2026-02-03 23:32:00.847729
TGX,43.58,43.57,43.59,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
PHR,47.35,47.34,47.36,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
BYL,44.24,44.23,44.25,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
CLD,81.13,81.12,81.14,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
GGD,31.34,31.33,31.35,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
PNR,59.7,59.69,59.71,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
FSR,30.75,30.74,30.76,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
ATB,63.12,63.11,63.13,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
SPK,52.86,52.85,52.87,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
EEC,47.88,47.87,47.89,50000000.0,50000000.0,0,0,0,0,0,0,11,2026-02-03 23:32:01.936205
TGX,43.65,43.64,43.66,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
PHR,47.18,47.17,47.19,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
BYL,44.26,44.25,44.27,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
CLD,81.33,81.32,81.34,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
GGD,31.37,31.36,31.38,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
PNR,59.51,59.5,59.52,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
FSR,30.81,30.8,30.82,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
ATB,63.42,63.41,63.43,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
SPK,52.89,52.88,52.9,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
EEC,47.91,47.9,47.92,50000000.0,50000000.0,0,0,0,0,0,0,12,2026-02-03 23:32:03.008889
TGX,43.68,43.67,43.69,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
PHR,47.1,47.09,47.11,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
BYL,44.04,44.03,44.05,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
CLD,80.75,80.74,80.76,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
GGD,31.4,31.39,31.41,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
PNR,59.65,59.64,59.66,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
FSR,30.8,30.79,30.81,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
ATB,63.45,63.44,63.46,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
SPK,52.81,52.8,52.82,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
EEC,47.75,47.74,47.76,50000000.0,50000000.0,0,0,0,0,0,0,13,2026-02-03 23:32:04.067773
TGX,43.63,43.62,43.64,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
PHR,47.12,47.11,47.13,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
BYL,44.17,44.16,44.18,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
CLD,80.95,80.94,80.96,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
GGD,31.34,31.33,31.35,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
PNR,59.26,59.25,59.27,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
FSR,30.76,30.75,30.77,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
ATB,63.48,63.47,63.49,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
SPK,52.88,52.87,52.89,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
EEC,47.86,47.85,47.87,50000000.0,50000000.0,0,0,0,0,0,0,14,2026-02-03 23:32:04.637440
TGX,43.63,43.62,43.64,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
PHR,47.07,47.06,47.08,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
BYL,43.96,43.95,43.97,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
CLD,80.36,80.35,80.37,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
GGD,31.34,31.33,31.35,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
PNR,59.17,59.16,59.18,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
FSR,30.79,30.78,30.8,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
ATB,63.37,63.36,63.38,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
SPK,52.87,52.86,52.88,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
EEC,47.8,47.79,47.81,50000000.0,50000000.0,0,0,0,0,0,0,15,2026-02-03 23:32:05.680737
TGX,43.74,43.73,43.75,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
PHR,47.11,47.1,47.12,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
BYL,44.13,44.12,44.14,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
CLD,80.91,80.9,80.92,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
GGD,31.35,31.34,31.36,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
PNR,59.36,59.35,59.37,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
FSR,30.8,30.79,30.81,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
ATB,63.47,63.46,63.48,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
SPK,52.85,52.84,52.86,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
EEC,47.72,47.71,47.73,50000000.0,50000000.0,0,0,0,0,0,0,16,2026-02-03 23:32:06.730655
TGX,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
PHR,47.16,47.15,47.17,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
BYL,44.37,44.36,44.38,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
CLD,81.26,81.25,81.27,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
GGD,31.39,31.38,31.4,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
PNR,59.29,59.28,59.3,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
FSR,30.77,30.76,30.78,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
ATB,63.62,63.61,63.63,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
SPK,52.79,52.78,52.8,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
EEC,47.66,47.65,47.67,50000000.0,50000000.0,0,0,0,0,0,0,17,2026-02-03 23:32:07.776508
TGX,43.78,43.77,43.79,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
PHR,47.05,47.04,47.06,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
BYL,44.58,44.57,44.59,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
CLD,81.76,81.75,81.77,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
GGD,31.4,31.39,31.41,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
PNR,59.33,59.32,59.34,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
FSR,30.74,30.73,30.75,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
ATB,63.74,63.73,63.75,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
SPK,52.84,52.83,52.85,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
EEC,47.78,47.77,47.79,50000000.0,50000000.0,0,0,0,0,0,0,18,2026-02-03 23:32:08.833172
TGX,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
PHR,47.14,47.13,47.15,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
BYL,44.92,44.91,44.93,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
CLD,82.63,82.62,82.64,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
GGD,31.41,31.4,31.42,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
PNR,59.36,59.35,59.37,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
FSR,30.76,30.75,30.77,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
ATB,63.77,63.76,63.78,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
SPK,52.79,52.78,52.8,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
EEC,47.71,47.7,47.72,50000000.0,50000000.0,0,0,0,0,0,0,19,2026-02-03 23:32:09.891811
TGX,43.75,43.74,43.76,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
PHR,47.02,47.01,47.03,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
BYL,44.82,44.81,44.83,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
CLD,82.4,82.39,82.41,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
GGD,31.4,31.39,31.41,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
PNR,58.99,58.98,59.0,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
FSR,30.72,30.71,30.73,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
ATB,63.74,63.73,63.75,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
SPK,52.78,52.77,52.79,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
EEC,47.72,47.71,47.73,50000000.0,50000000.0,0,0,0,0,0,0,20,2026-02-03 23:32:10.951266
TGX,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
PHR,46.95,46.94,46.96,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
BYL,44.65,44.64,44.66,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
CLD,82.02,82.01,82.03,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
GGD,31.41,31.4,31.42,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
PNR,58.96,58.95,58.97,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
FSR,30.67,30.66,30.68,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
ATB,63.99,63.98,64.0,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
SPK,52.87,52.86,52.88,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
EEC,47.9,47.89,47.91,50000000.0,50000000.0,0,0,0,0,0,0,21,2026-02-03 23:32:11.996406
TGX,43.75,43.74,43.76,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
PHR,47.13,47.12,47.14,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
BYL,44.93,44.92,44.94,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
CLD,82.48,82.47,82.49,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
GGD,31.39,31.38,31.4,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
PNR,59.09,59.08,59.1,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
FSR,30.72,30.71,30.73,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
ATB,64.03,64.02,64.04,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
SPK,52.83,52.82,52.84,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
EEC,47.79,47.78,47.8,50000000.0,50000000.0,0,0,0,0,0,0,22,2026-02-03 23:32:13.069188
TGX,43.83,43.82,43.84,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
PHR,47.12,47.11,47.13,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
BYL,44.98,44.97,44.99,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
CLD,82.65,82.64,82.66,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
GGD,31.38,31.37,31.39,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
PNR,59.2,59.19,59.21,50000000.0,50000000.0,0,0,0,0,0,0,23,2026-02-03 23:32:13.651516
