news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-1,SELL_CHUL-2,BUY_CNCD-1,SELL_CNCD-1,BUY_COLB-1,SELL_COLB-1,SELL_LUIS-1,SELL_BOST-3
,,,,,,20,2026-02-01 11:52:54.914742,COMP,24.88,24.88,24.9,114900.0,121300.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,21,2026-02-01 11:52:55.946576,RITC,10.1,10.1,10.11,202300.0,94300.0,,0,0,0,0,0,0,0
,,,,,,21,2026-02-01 11:52:55.946576,COMP,24.88,24.88,24.9,114900.0,120500.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,22,2026-02-01 11:52:56.976129,RITC,10.11,10.1,10.11,204400.0,94300.0,,0,0,0,0,0,0,0
,,,,,,22,2026-02-01 11:52:56.976129,COMP,24.88,24.88,24.9,114900.0,120900.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,23,2026-02-01 11:52:57.993087,RITC,10.11,10.1,10.11,202500.0,92100.0,,0,0,0,0,0,0,0
,,,,,,23,2026-02-01 11:52:57.993087,COMP,24.88,24.88,24.89,114900.0,119200.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,24,2026-02-01 11:52:59.025805,RITC,10.12,10.1,10.12,200600.0,91200.0,,0,0,0,0,0,0,0
,,,,,,24,2026-02-01 11:52:59.025805,COMP,24.86,24.86,24.89,107300.0,119200.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,25,2026-02-01 11:53:00.046411,RITC,10.14,10.1,10.14,198200.0,91600.0,,0,0,0,0,0,0,0
,,,,,,25,2026-02-01 11:53:00.046411,COMP,24.84,24.84,24.88,99400.0,117800.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,26,2026-02-01 11:53:01.084529,RITC,10.14,10.12,10.14,197700.0,91600.0,,0,0,0,0,0,0,0
,,,,,,26,2026-02-01 11:53:01.084529,COMP,24.84,24.84,24.87,99400.0,116700.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,27,2026-02-01 11:53:02.103963,RITC,10.14,10.12,10.14,198400.0,91600.0,,0,0,0,0,0,0,0
,,,,,,27,2026-02-01 11:53:02.103963,COMP,24.79,24.79,24.83,83100.0,118500.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,28,2026-02-01 11:53:03.142363,RITC,10.14,10.15,10.18,200200.0,91900.0,0,0,0,0,0,0,0,0
,,,,,,28,2026-02-01 11:53:03.142363,COMP,24.79,24.79,24.83,83100.0,140500.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,29,2026-02-01 11:53:04.171403,RITC,10.18,10.18,10.2,199100.0,94800.0,,0,0,0,0,0,0,0
,,,,,,29,2026-02-01 11:53:04.171403,COMP,24.75,24.75,24.79,68300.0,118400.0,9000.0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,30,2026-02-01 11:53:05.199613,RITC,10.21,10.18,10.21,199200.0,96300.0,0,0,0,0,0,0,0,0
,,,,,,30,2026-02-01 11:53:05.199613,COMP,24.73,24.73,24.76,77400.0,138500.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,31,2026-02-01 11:53:06.229942,RITC,10.21,10.19,10.21,199600.0,95400.0,0,0,0,0,0,0,0,0
,,,,,,31,2026-02-01 11:53:06.229942,COMP,24.71,24.71,24.76,77200.0,139600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,32,2026-02-01 11:53:07.254325,RITC,10.25,10.19,10.25,199600.0,97800.0,0,0,0,0,0,0,0,0
,,,,,,32,2026-02-01 11:53:07.254325,COMP,24.71,24.65,24.67,84300.0,139200.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,33,2026-02-01 11:53:08.282452,RITC,10.25,10.24,10.25,196300.0,97800.0,0,0,0,0,0,0,0,0
,,,,,,33,2026-02-01 11:53:08.282452,COMP,24.71,24.65,24.67,84300.0,139400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,34,2026-02-01 11:53:09.311650,RITC,10.3,10.28,10.3,196000.0,97300.0,0,0,0,0,0,0,0,0
,,,,,,34,2026-02-01 11:53:09.311650,COMP,24.65,24.61,24.65,77100.0,140400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,35,2026-02-01 11:53:10.335554,RITC,10.3,10.31,10.33,191700.0,94400.0,0,0,0,0,0,0,0,0
,,,,,,35,2026-02-01 11:53:10.335554,COMP,24.61,24.61,24.65,77400.0,140400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,36,2026-02-01 11:53:11.356314,RITC,10.33,10.32,10.33,190200.0,94400.0,0,0,0,0,0,0,0,0
,,,,,,36,2026-02-01 11:53:11.356314,COMP,24.65,24.65,24.67,90100.0,139400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,37,2026-02-01 11:53:12.375850,RITC,10.36,10.32,10.36,190200.0,103700.0,0,0,0,0,0,0,0,0
,,,,,,37,2026-02-01 11:53:12.375850,COMP,24.65,24.65,24.67,90100.0,138700.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,38,2026-02-01 11:53:13.407987,RITC,10.36,10.32,10.35,192200.0,112000.0,0,0,0,0,0,0,0,0
,,,,,,38,2026-02-01 11:53:13.407987,COMP,24.65,24.65,24.67,90100.0,138300.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,39,2026-02-01 11:53:14.439671,RITC,10.32,10.32,10.35,193500.0,112000.0,0,0,0,0,0,0,0,0
,,,,,,39,2026-02-01 11:53:14.439671,COMP,24.64,24.64,24.67,90400.0,138300.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,40,2026-02-01 11:53:15.462227,RITC,10.32,10.32,10.33,192600.0,122100.0,0,0,0,0,0,0,0,0
,,,,,,40,2026-02-01 11:53:15.462227,COMP,24.61,24.61,24.67,84200.0,140800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,41,2026-02-01 11:53:16.486824,RITC,10.31,10.31,10.33,193300.0,122100.0,0,0,0,0,0,0,0,0
,,,,,,41,2026-02-01 11:53:16.486824,COMP,24.61,24.61,24.62,84200.0,139500.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,42,2026-02-01 11:53:17.509064,RITC,10.31,10.31,10.32,189500.0,131700.0,0,0,0,0,0,0,0,0
,,,,,,42,2026-02-01 11:53:17.509064,COMP,24.62,24.63,24.67,83900.0,140800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,43,2026-02-01 11:53:18.526531,RITC,10.31,10.31,10.32,189500.0,152800.0,0,0,0,0,0,0,0,0
,,,,,,43,2026-02-01 11:53:18.526531,COMP,24.62,24.63,24.64,83900.0,138700.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,44,2026-02-01 11:53:19.557798,RITC,10.33,10.31,10.33,190300.0,143200.0,0,0,0,0,0,0,0,0
,,,,,,44,2026-02-01 11:53:19.557798,COMP,24.64,24.63,24.67,83900.0,140800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,45,2026-02-01 11:53:20.594727,RITC,10.33,10.31,10.33,190300.0,162600.0,0,0,0,0,0,0,0,0
,,,,,,45,2026-02-01 11:53:20.594727,COMP,24.57,24.57,24.67,77700.0,140800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,46,2026-02-01 11:53:21.622254,RITC,10.3,10.3,10.33,191000.0,162600.0,0,0,0,0,0,0,0,0
,,,,,,46,2026-02-01 11:53:21.622254,COMP,24.57,24.6,24.61,85900.0,138400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,47,2026-02-01 11:53:22.645409,RITC,10.3,10.3,10.33,190300.0,162600.0,0,0,0,0,0,0,0,0
,,,,,,47,2026-02-01 11:53:22.645409,COMP,24.57,24.6,24.61,85900.0,140100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,49,2026-02-01 11:53:23.676654,RITC,10.3,10.3,10.31,190300.0,181100.0,0,0,0,0,0,0,0,0
,,,,,,49,2026-02-01 11:53:23.676654,COMP,24.6,24.6,24.61,85900.0,140100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,50,2026-02-01 11:53:24.713891,RITC,10.27,10.27,10.31,192200.0,181100.0,0,0,0,0,0,0,0,0
,,,,,,50,2026-02-01 11:53:24.713891,COMP,24.6,24.57,24.6,77700.0,141600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,51,2026-02-01 11:53:25.758493,RITC,10.27,10.27,10.29,192200.0,191300.0,0,0,0,0,0,0,0,0
,,,,,,51,2026-02-01 11:53:25.758493,COMP,24.6,24.57,24.58,77700.0,142500.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,52,2026-02-01 11:53:26.791252,RITC,10.27,10.27,10.29,191900.0,191500.0,0,0,0,0,0,0,0,0
,,,,,,52,2026-02-01 11:53:26.791252,COMP,24.6,24.57,24.58,77700.0,142600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,53,2026-02-01 11:53:27.831347,RITC,10.27,10.24,10.27,190500.0,194200.0,0,0,0,0,0,0,0,0
,,,,,,53,2026-02-01 11:53:27.831347,COMP,24.56,24.56,24.58,75800.0,142600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,54,2026-02-01 11:53:28.867158,RITC,10.23,10.23,10.25,193600.0,193100.0,0,0,0,0,0,0,0,0
,,,,,,54,2026-02-01 11:53:28.867158,COMP,24.58,24.56,24.58,75800.0,142800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,55,2026-02-01 11:53:29.911176,RITC,10.23,10.23,10.24,193600.0,193500.0,0,0,0,0,0,0,0,0
,,,,,,55,2026-02-01 11:53:29.911176,COMP,24.56,24.56,24.58,75800.0,142800.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,56,2026-02-01 11:53:30.943209,RITC,10.25,10.23,10.25,193600.0,193400.0,0,0,0,0,0,0,0,0
,,,,,,56,2026-02-01 11:53:30.943209,COMP,24.56,24.56,24.58,75800.0,142400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,57,2026-02-01 11:53:32.057008,RITC,10.23,10.23,10.25,192700.0,193400.0,0,0,0,0,0,0,0,0
,,,,,,57,2026-02-01 11:53:32.057008,COMP,24.58,24.56,24.58,75800.0,142100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,58,2026-02-01 11:53:33.415812,RITC,10.23,10.23,10.24,192700.0,193300.0,0,0,0,0,0,0,0,0
,,,,,,58,2026-02-01 11:53:33.415812,COMP,24.54,24.54,24.58,73900.0,142100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,59,2026-02-01 11:53:34.561192,RITC,10.23,10.23,10.24,193200.0,195500.0,0,0,0,0,0,0,0,0
,,,,,,59,2026-02-01 11:53:34.561192,COMP,24.58,24.54,24.58,73900.0,142600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,61,2026-02-01 11:53:35.804620,RITC,10.23,10.2,10.22,196100.0,199100.0,0,0,0,0,0,0,0,0
,,,,,,61,2026-02-01 11:53:35.804620,COMP,24.54,24.47,24.54,72400.0,142700.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,62,2026-02-01 11:53:37.115595,RITC,10.2,10.2,10.22,196100.0,197000.0,0,0,0,0,0,0,0,0
,,,,,,62,2026-02-01 11:53:37.115595,COMP,24.54,24.49,24.54,86300.0,142700.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,63,2026-02-01 11:53:38.278737,RITC,10.2,10.2,10.21,196100.0,199800.0,0,0,0,0,0,0,0,0
,,,,,,63,2026-02-01 11:53:38.278737,COMP,24.54,24.49,24.53,94700.0,143600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,64,2026-02-01 11:53:39.317346,RITC,10.21,10.2,10.21,196100.0,197600.0,0,0,0,0,0,0,0,0
,,,,,,64,2026-02-01 11:53:39.317346,COMP,24.54,24.49,24.5,94700.0,143100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,65,2026-02-01 11:53:40.347092,RITC,10.22,10.2,10.22,196100.0,195400.0,0,0,0,0,0,0,0,0
,,,,,,65,2026-02-01 11:53:40.347092,COMP,24.53,24.49,24.53,94700.0,143600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,66,2026-02-01 11:53:41.371632,RITC,10.22,10.2,10.22,196100.0,195700.0,0,0,0,0,0,0,0,0
,,,,,,66,2026-02-01 11:53:41.371632,COMP,24.53,24.49,24.53,100700.0,143600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,67,2026-02-01 11:53:42.406712,RITC,10.2,10.19,10.2,196400.0,192800.0,0,0,0,0,0,0,0,0
,,,,,,67,2026-02-01 11:53:42.406712,COMP,24.53,24.49,24.53,100700.0,144000.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,68,2026-02-01 11:53:43.426692,RITC,10.19,10.19,10.21,196400.0,194500.0,0,0,0,0,0,0,0,0
,,,,,,68,2026-02-01 11:53:43.426692,COMP,24.53,24.49,24.53,100700.0,143600.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,69,2026-02-01 11:53:44.440642,RITC,10.19,10.19,10.21,194900.0,194500.0,0,0,0,0,0,0,0,0
,,,,,,69,2026-02-01 11:53:44.440642,COMP,24.54,24.47,24.54,92900.0,141900.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,70,2026-02-01 11:53:45.462963,RITC,10.22,10.21,10.22,192200.0,195700.0,0,0,0,0,0,0,0,0
,,,,,,70,2026-02-01 11:53:45.462963,COMP,24.54,24.48,24.54,100700.0,141900.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,71,2026-02-01 11:53:46.494938,RITC,10.19,10.19,10.21,197600.0,196700.0,0,0,0,0,0,0,0,0
,,,,,,71,2026-02-01 11:53:46.494938,COMP,24.54,24.48,24.54,116200.0,141900.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,72,2026-02-01 11:53:47.527946,RITC,10.22,10.2,10.22,195300.0,194900.0,0,0,0,0,0,0,0,0
,,,,,,72,2026-02-01 11:53:47.527946,COMP,24.54,24.48,24.54,123500.0,141900.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,73,2026-02-01 11:53:48.560675,RITC,10.2,10.19,10.2,197600.0,196600.0,0,0,0,0,0,0,0,0
,,,,,,73,2026-02-01 11:53:48.560675,COMP,24.55,24.53,24.55,131500.0,141500.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,74,2026-02-01 11:53:49.595762,RITC,10.22,10.22,10.23,194300.0,194100.0,0,0,0,0,0,0,0,0
,,,,,,74,2026-02-01 11:53:49.595762,COMP,24.56,24.53,24.56,131500.0,141100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,75,2026-02-01 11:53:50.624222,RITC,10.19,10.18,10.19,198000.0,196100.0,0,0,0,0,0,0,0,0
,,,,,,75,2026-02-01 11:53:50.624222,COMP,24.56,24.53,24.56,145800.0,141100.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,76,2026-02-01 11:53:51.660846,RITC,10.19,10.18,10.19,197400.0,196100.0,0,0,0,0,0,0,0,0
,,,,,,76,2026-02-01 11:53:51.660846,COMP,24.57,24.53,24.57,145800.0,140400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,77,2026-02-01 11:53:52.696806,RITC,10.18,10.18,10.19,201500.0,196100.0,0,0,0,0,0,0,0,0
,,,,,,77,2026-02-01 11:53:52.696806,COMP,24.57,24.54,24.57,147400.0,140400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,78,2026-02-01 11:53:53.716636,RITC,10.17,10.17,10.19,201900.0,195700.0,0,0,0,0,0,0,0,0
,,,,,,78,2026-02-01 11:53:53.716636,COMP,24.58,24.54,24.58,149600.0,141400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,79,2026-02-01 11:53:54.749731,RITC,10.17,10.17,10.19,201900.0,196900.0,0,0,0,0,0,0,0,0
,,,,,,79,2026-02-01 11:53:54.749731,COMP,24.58,24.54,24.58,150500.0,141400.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,80,2026-02-01 11:53:55.778112,RITC,10.17,10.17,10.19,201900.0,196700.0,0,0,0,0,0,0,0,0
,,,,,,80,2026-02-01 11:53:55.778112,COMP,24.6,24.54,24.6,150500.0,141700.0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,81,2026-02-01 11:53:56.810304,RITC,10.17,10.17,10.19,202600.0,195000.0,0,0,0,0,0,0,0,0
,,,,,,81,2026-02-01 11:53:56.810304,COMP,24.6,24.54,24.6,151000.0,141700.0,0,0,0,0,0,0,0,0
