ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,tick,timestamp
SPNG,0.0,0.0,0.0,2028700.0,1960700.0,0,0,0,2026-02-04 11:44:39.625790
SMMR,0.0,0.0,0.0,1814100.0,2204400.0,0,0,0,2026-02-04 11:44:39.625790
ATMN,0.0,0.0,0.0,2176300.0,1935400.0,0,0,0,2026-02-04 11:44:39.625790
WNTR,0.0,24.91,0.0,1767000.0,1991100.0,0,0,0,2026-02-04 11:44:39.625790
SPNG,25.16,24.8,25.15,1847200.0,5250.0,2625.0,1871800.0,1,2026-02-04 11:44:40.595207,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.
SMMR,25.03,24.97,25.03,1592700.0,,,2204400.0,1,2026-02-04 11:44:40.595207,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,24.88,24.88,25.08,2071400.0,2625.0,5250.0,1979500.0,1,2026-02-04 11:44:40.595207,,,,,,
WNTR,24.91,24.91,25.03,1873600.0,,,2030100.0,1,2026-02-04 11:44:40.595207,,,,,,
SPNG,24.75,25.02,25.15,1924600.0,2625.0,5250.0,1871800.0,2,2026-02-04 11:44:41.650573
SMMR,25.05,24.95,25.05,1592700.0,,,2184500.0,2,2026-02-04 11:44:41.650573
ATMN,25.09,24.88,25.08,1955800.0,5250.0,2625.0,2078000.0,2,2026-02-04 11:44:41.650573
WNTR,25.04,24.91,25.04,1873600.0,,,2021000.0,2,2026-02-04 11:44:41.650573
SPNG,24.86,24.76,24.86,7875.0,1736300.0,1700100.0,13125.0,3,2026-02-04 11:44:42.486793
SMMR,24.93,24.93,25.05,,1593700.0,2183400.0,,3,2026-02-04 11:44:42.486793
ATMN,25.31,24.89,25.3,10500.0,1720100.0,2042600.0,2625.0,3,2026-02-04 11:44:42.486793
WNTR,25.04,24.9,25.04,,1774100.0,2025800.0,,3,2026-02-04 11:44:42.486793
SPNG,24.86,24.84,24.86,1635600.0,10500.0,1579600.0,15750.0,4,2026-02-04 11:44:43.453661
SMMR,25.05,25.19,25.21,1598400.0,,2158200.0,,4,2026-02-04 11:44:43.453661
ATMN,25.31,24.89,24.96,1500200.0,15750.0,2058300.0,2625.0,4,2026-02-04 11:44:43.453661
WNTR,25.05,24.88,25.05,1659800.0,,2035700.0,,4,2026-02-04 11:44:43.453661
SPNG,25.27,24.89,25.27,1414900.0,15750.0,1755300.0,0,5,2026-02-04 11:44:44.510766
SMMR,25.19,25.19,25.21,1598400.0,,2187800.0,0,5,2026-02-04 11:44:44.510766
ATMN,24.96,24.89,24.92,1512800.0,15750.0,2170100.0,0,5,2026-02-04 11:44:44.510766
WNTR,25.08,24.88,24.98,1659800.0,,2015800.0,0,5,2026-02-04 11:44:44.510766
SPNG,25.27,24.9,25.27,18375.0,1324300.0,1874100.0,0,6,2026-02-04 11:44:45.112178
SMMR,25.19,25.19,25.21,500.0,1598400.0,2219200.0,0,6,2026-02-04 11:44:45.112178
ATMN,24.92,24.89,24.92,18375.0,1401500.0,2170100.0,0,6,2026-02-04 11:44:45.112178
WNTR,24.84,24.84,24.98,500.0,1727700.0,2015800.0,0,6,2026-02-04 11:44:45.112178
SPNG,25.1,24.94,25.1,20000.0,21000.0,1017600.0,2206600.0,0,7,2026-02-04 11:44:46.718966
SMMR,25.21,24.92,25.21,,,1461500.0,2219200.0,0,7,2026-02-04 11:44:46.718966
ATMN,24.88,24.88,25.2,,,2191700.0,2115500.0,0,7,2026-02-04 11:44:46.718966
WNTR,24.95,25.04,25.09,,1500.0,1751200.0,2067200.0,0,7,2026-02-04 11:44:46.718966
SPNG,25.1,25.25,25.27,1625900.0,10500.0,2081100.0,,0,8,2026-02-04 11:44:47.730662
SMMR,25.21,24.84,25.21,1277000.0,,2126000.0,1500.0,0,8,2026-02-04 11:44:47.730662
ATMN,24.89,24.88,24.89,2191100.0,,2013400.0,2625.0,0,8,2026-02-04 11:44:47.730662
WNTR,25.08,25.04,25.08,1841300.0,1000.0,2075100.0,,0,8,2026-02-04 11:44:47.730662
SPNG,25.1,25.25,25.26,1535300.0,13125.0,2625.0,2031000.0,0,9,2026-02-04 11:44:48.362087
SMMR,25.03,25.06,25.21,1407300.0,,1500.0,2146800.0,0,9,2026-02-04 11:44:48.362087
ATMN,24.89,24.88,24.89,2189400.0,,2625.0,2013400.0,0,9,2026-02-04 11:44:48.362087
WNTR,25.04,24.89,24.96,1727700.0,,500.0,2005800.0,0,9,2026-02-04 11:44:48.362087
SPNG,25.27,24.9,25.27,15750.0,1442500.0,2157800.0,,0,10,2026-02-04 11:44:49.143753
SMMR,25.06,24.84,25.02,,1277000.0,2158000.0,1500.0,0,10,2026-02-04 11:44:49.143753
ATMN,24.89,24.88,24.89,,2211300.0,1785100.0,7875.0,0,10,2026-02-04 11:44:49.143753
WNTR,25.01,24.89,25.01,,1843800.0,2009600.0,500.0,0,10,2026-02-04 11:44:49.143753
SPNG,25.27,25.01,25.26,2092000.0,13125.0,1596600.0,,,0,23,2026-02-04 11:45:02.403074
SMMR,24.79,24.88,24.99,1686500.0,,2230100.0,15000.0,,0,23,2026-02-04 11:45:02.403074
ATMN,25.33,25.12,25.33,1641400.0,,2075700.0,,13125.0,0,23,2026-02-04 11:45:02.403074
WNTR,25.14,25.14,25.15,1885300.0,,2059500.0,,4000.0,0,23,2026-02-04 11:45:02.403074
SPNG,25.27,24.86,24.89,20000.0,1873100.0,15000.0,2625.0,1801900.0,,24,2026-02-04 11:45:03.568568
SMMR,24.93,24.91,24.93,,2052400.0,,,2202400.0,,24,2026-02-04 11:45:03.568568
ATMN,25.33,25.17,25.33,,1302500.0,,,2045900.0,21000.0,24,2026-02-04 11:45:03.568568
WNTR,25.16,24.94,25.16,,2097000.0,,,2059200.0,,24,2026-02-04 11:45:03.568568
SPNG,25.27,24.86,25.27,20000.0,1838500.0,2114600.0,,0,0,25,2026-02-04 11:45:04.715082
SMMR,24.93,24.91,24.93,,2041900.0,2202400.0,500.0,0,0,25,2026-02-04 11:45:04.715082
ATMN,25.34,25.18,25.34,,1306000.0,2057500.0,21000.0,0,0,25,2026-02-04 11:45:04.715082
WNTR,24.92,24.97,25.16,,1981200.0,2059200.0,500.0,0,0,25,2026-02-04 11:45:04.715082
SPNG,24.82,24.84,25.23,10000.0,1933500.0,2094900.0,,0,0,27,2026-02-04 11:45:06.315807
SMMR,24.95,24.91,24.95,,1761100.0,2224600.0,2000.0,0,0,27,2026-02-04 11:45:06.315807
ATMN,25.17,25.17,25.36,,2084100.0,2084100.0,2625.0,0,0,27,2026-02-04 11:45:06.315807
WNTR,25.08,25.08,25.16,,1894600.0,2027000.0,1000.0,0,0,27,2026-02-04 11:45:06.315807
SPNG,24.72,24.88,25.23,5250.0,1862800.0,1893000.0,5250.0,0,0,28,2026-02-04 11:45:07.058379
SMMR,24.9,24.9,25.05,,2196000.0,2093600.0,2000.0,0,0,28,2026-02-04 11:45:07.058379
ATMN,25.36,25.16,25.36,2625.0,2101400.0,2092300.0,,0,0,28,2026-02-04 11:45:07.058379
WNTR,25.16,25.01,25.16,,2118400.0,2027400.0,,0,0,28,2026-02-04 11:45:07.058379
SPNG,24.88,25.04,25.23,1967900.0,2625.0,1807700.0,7875.0,,0,29,2026-02-04 11:45:08.625291
SMMR,25.06,24.9,25.06,2233300.0,,2125100.0,2000.0,,0,29,2026-02-04 11:45:08.625291
ATMN,25.22,25.33,25.35,2074700.0,,1970800.0,2625.0,5000.0,0,29,2026-02-04 11:45:08.625291
WNTR,25.19,25.03,25.19,2110000.0,,2011100.0,,,0,29,2026-02-04 11:45:08.625291
SPNG,24.69,24.69,25.23,1840900.0,5250.0,1570300.0,13125.0,0,0,30,2026-02-04 11:45:09.328083
SMMR,24.97,24.9,24.97,2260600.0,,2120700.0,2000.0,0,0,30,2026-02-04 11:45:09.328083
ATMN,25.22,25.34,25.35,2074700.0,2625.0,1762400.0,7875.0,0,0,30,2026-02-04 11:45:09.328083
WNTR,25.03,25.03,25.19,2120900.0,,2026300.0,,0,0,30,2026-02-04 11:45:09.328083
SPNG,24.69,24.69,25.26,10500.0,1638100.0,2101400.0,,,0,31,2026-02-04 11:45:10.197059
SMMR,24.97,25.02,25.06,,2206000.0,2125100.0,2000.0,,0,31,2026-02-04 11:45:10.197059
ATMN,25.19,25.19,25.37,,2075400.0,2102400.0,,5000.0,0,31,2026-02-04 11:45:10.197059
WNTR,25.19,25.2,25.22,,2118400.0,2031500.0,,,0,31,2026-02-04 11:45:10.197059
SPNG,24.81,24.91,25.27,15750.0,1416000.0,2124500.0,,0,0,32,2026-02-04 11:45:11.293728
SMMR,24.97,25.02,25.04,,2206000.0,2121600.0,2000.0,0,0,32,2026-02-04 11:45:11.293728
ATMN,25.4,25.19,25.35,7875.0,1887100.0,1999400.0,2625.0,0,0,32,2026-02-04 11:45:11.293728
WNTR,25.2,25.06,25.16,1500.0,2050400.0,2031500.0,,0,0,32,2026-02-04 11:45:11.293728
SPNG,24.69,24.74,24.87,20000.0,1195400.0,15750.0,20000.0,2625.0,1837300.0,33,2026-02-04 11:45:12.248177
SMMR,24.97,24.91,24.95,,2134500.0,500.0,,2000.0,2177400.0,33,2026-02-04 11:45:12.248177
ATMN,25.4,25.2,25.4,,2207400.0,,,5250.0,1895300.0,33,2026-02-04 11:45:12.248177
WNTR,25.16,25.2,25.22,,2031500.0,1500.0,,,2032000.0,33,2026-02-04 11:45:12.248177
SPNG,24.69,24.69,24.9,1412000.0,15750.0,5250.0,1922600.0,0,0,34,2026-02-04 11:45:13.286738
SMMR,25.01,25.02,25.03,2144100.0,500.0,2000.0,2121600.0,0,0,34,2026-02-04 11:45:13.286738
ATMN,25.16,25.17,25.28,2104100.0,2625.0,,2090600.0,0,0,34,2026-02-04 11:45:13.286738
WNTR,25.15,25.12,25.15,2052100.0,1500.0,,2073700.0,0,0,34,2026-02-04 11:45:13.286738
SPNG,24.91,24.69,24.91,1333900.0,18375.0,2124500.0,,0,0,35,2026-02-04 11:45:14.751867
SMMR,24.91,24.91,25.02,2120600.0,500.0,2136400.0,2000.0,0,0,35,2026-02-04 11:45:14.751867
ATMN,25.26,25.17,25.26,1665100.0,13125.0,1662500.0,10500.0,0,0,35,2026-02-04 11:45:14.751867
WNTR,25.06,25.06,25.11,2051700.0,1500.0,2048200.0,,0,0,35,2026-02-04 11:45:14.751867
SPNG,25.19,24.69,24.7,1124500.0,23625.0,2130500.0,,0,0,36,2026-02-04 11:45:15.776651
SMMR,25.06,24.98,25.06,2126000.0,500.0,2083500.0,2000.0,0,0,36,2026-02-04 11:45:15.776651
ATMN,25.34,25.16,25.34,1427000.0,18375.0,2106800.0,,0,0,36,2026-02-04 11:45:15.776651
WNTR,25.09,25.09,25.11,2076600.0,1500.0,2031300.0,,0,0,36,2026-02-04 11:45:15.776651
SPNG,24.92,24.69,24.89,1124500.0,23625.0,2089900.0,,0,0,37,2026-02-04 11:45:16.575091
SMMR,25.08,24.98,25.08,1794900.0,1000.0,2212800.0,20000.0,0,0,37,2026-02-04 11:45:16.575091
ATMN,25.34,25.17,25.34,1431400.0,18375.0,2129900.0,,0,0,37,2026-02-04 11:45:16.575091
WNTR,25.08,25.09,25.11,1932900.0,2000.0,2046600.0,,0,0,37,2026-02-04 11:45:16.575091
SPNG,24.86,24.69,24.86,2031600.0,2114600.0,0,0,0,0,38,2026-02-04 11:45:17.486937
SMMR,25.08,24.99,25.08,2261700.0,2212800.0,0,0,0,0,38,2026-02-04 11:45:17.486937
ATMN,25.15,25.15,25.38,2172500.0,2118200.0,0,0,0,0,38,2026-02-04 11:45:17.486937
WNTR,25.08,25.08,25.11,2161300.0,2057100.0,0,0,0,0,38,2026-02-04 11:45:17.486937
SPNG,25.13,25.13,25.27,2031600.0,2003800.0,2625.0,,,0,39,2026-02-04 11:45:18.437336
SMMR,25.08,25.05,25.08,2145700.0,2228600.0,,10000.0,,0,39,2026-02-04 11:45:18.437336
ATMN,25.38,25.13,25.37,2104700.0,2028700.0,2625.0,,2625.0,0,39,2026-02-04 11:45:18.437336
WNTR,25.11,25.14,25.15,2158100.0,1957400.0,1000.0,,,0,39,2026-02-04 11:45:18.437336
SPNG,25.32,24.67,24.71,1710300.0,7875.0,13125.0,1602700.0,,,40,2026-02-04 11:45:20.001697
SMMR,25.08,24.99,25.08,2265100.0,,,2224900.0,,,40,2026-02-04 11:45:20.001697
ATMN,25.38,25.17,25.34,1786600.0,5250.0,2625.0,1835100.0,20000.0,20000.0,40,2026-02-04 11:45:20.001697
WNTR,25.02,25.07,25.08,2177400.0,,1000.0,1977400.0,,,40,2026-02-04 11:45:20.001697
SPNG,24.71,24.88,25.32,1571600.0,13125.0,1602700.0,13125.0,,0,41,2026-02-04 11:45:20.792906
SMMR,24.9,25.06,25.08,2256300.0,,2224900.0,,,0,41,2026-02-04 11:45:20.792906
ATMN,25.38,25.17,25.37,1586100.0,10500.0,2018900.0,2625.0,20000.0,0,41,2026-02-04 11:45:20.792906
WNTR,25.07,25.07,25.08,2171300.0,,1977400.0,1000.0,,0,41,2026-02-04 11:45:20.792906
SPNG,24.88,24.88,25.32,1571600.0,13125.0,1587500.0,13125.0,,0,42,2026-02-04 11:45:21.623019
SMMR,24.9,25.06,25.08,2162700.0,,2193800.0,,10000.0,0,42,2026-02-04 11:45:21.623019
ATMN,25.38,25.36,25.37,1678100.0,13125.0,1915100.0,5250.0,,0,42,2026-02-04 11:45:21.623019
WNTR,25.08,25.09,25.11,2171100.0,,1966300.0,1000.0,,0,42,2026-02-04 11:45:21.623019
SPNG,24.66,24.67,24.91,2625.0,1903300.0,1367700.0,18375.0,,0,43,2026-02-04 11:45:22.183554
SMMR,24.9,24.9,24.92,,2249400.0,2185000.0,,,0,43,2026-02-04 11:45:22.183554
ATMN,25.38,25.36,25.38,15750.0,1358800.0,2047100.0,2625.0,20000.0,0,43,2026-02-04 11:45:22.183554
WNTR,25.06,25.06,25.13,,2171600.0,1963200.0,1000.0,,0,43,2026-02-04 11:45:22.183554
SPNG,25.35,24.66,25.09,2007500.0,1911100.0,5250.0,0,0,0,44,2026-02-04 11:45:23.303601
SMMR,24.96,25.05,25.08,2239000.0,2156900.0,,0,0,0,44,2026-02-04 11:45:23.303601
ATMN,25.12,25.12,25.38,2181200.0,2173100.0,,0,0,0,44,2026-02-04 11:45:23.303601
WNTR,25.15,25.08,25.15,2152500.0,1886300.0,1500.0,0,0,0,44,2026-02-04 11:45:23.303601
SPNG,24.64,24.99,25.08,1815100.0,10000.0,2625.0,10500.0,1722700.0,0,45,2026-02-04 11:45:24.361338
SMMR,24.96,25.05,25.07,2239000.0,,,500.0,2105100.0,0,45,2026-02-04 11:45:24.361338
ATMN,25.12,25.28,25.34,2107200.0,5000.0,,5250.0,1950900.0,0,45,2026-02-04 11:45:24.361338
WNTR,25.02,25.02,25.16,2176400.0,,,,2056500.0,0,45,2026-02-04 11:45:24.361338
SPNG,24.64,24.64,25.08,2021300.0,13125.0,1602700.0,0,0,0,46,2026-02-04 11:45:25.470561
SMMR,25.07,25.05,25.06,2239000.0,1500.0,1903500.0,0,0,0,46,2026-02-04 11:45:25.470561
ATMN,25.28,25.12,25.25,2181200.0,10500.0,1711600.0,0,0,0,46,2026-02-04 11:45:25.470561
WNTR,25.18,25.02,25.16,2174300.0,500.0,1999500.0,0,0,0,46,2026-02-04 11:45:25.470561
SPNG,24.64,24.64,24.89,2019400.0,15750.0,5600.0,1372000.0,0,0,47,2026-02-04 11:45:26.587520
SMMR,24.89,24.89,25.06,2229900.0,2500.0,,1675000.0,0,0,47,2026-02-04 11:45:26.587520
ATMN,25.08,25.08,25.25,2178900.0,15750.0,,1478200.0,0,0,47,2026-02-04 11:45:26.587520
WNTR,25.01,25.1,25.16,2153400.0,1500.0,,1776800.0,0,0,47,2026-02-04 11:45:26.587520
SPNG,24.9,24.64,24.89,2019400.0,10500.0,1711200.0,0,0,0,48,2026-02-04 11:45:27.157525
SMMR,24.89,24.9,25.06,2233500.0,3000.0,1582000.0,0,0,0,48,2026-02-04 11:45:27.157525
ATMN,25.11,25.11,25.25,2189100.0,21000.0,1278100.0,0,0,0,48,2026-02-04 11:45:27.157525
WNTR,25.1,25.01,25.04,2187800.0,500.0,2018000.0,0,0,0,48,2026-02-04 11:45:27.157525
SPNG,25.09,25.0,25.05,5600.0,1624600.0,7875.0,2018700.0,2625.0,,49,2026-02-04 11:45:28.335739
SMMR,24.89,24.98,25.01,20000.0,1873700.0,500.0,1358200.0,3000.0,20000.0,49,2026-02-04 11:45:28.335739
ATMN,25.35,25.07,25.31,,2189100.0,,1946500.0,5250.0,,49,2026-02-04 11:45:28.335739
WNTR,25.22,25.01,25.1,,2187800.0,,2117100.0,,,49,2026-02-04 11:45:28.335739
SPNG,24.62,24.94,25.05,2017100.0,2018700.0,2625.0,,0,0,50,2026-02-04 11:45:29.401741
SMMR,25.01,24.98,25.01,1998200.0,2253000.0,,1000.0,0,0,50,2026-02-04 11:45:29.401741
ATMN,25.21,24.98,25.2,2161500.0,1843400.0,7875.0,,0,0,50,2026-02-04 11:45:29.401741
WNTR,25.1,25.01,25.1,2045600.0,2134400.0,,500.0,0,0,50,2026-02-04 11:45:29.401741
SPNG,24.94,24.63,24.94,2625.0,1927200.0,2136800.0,,0,0,51,2026-02-04 11:45:30.517135
SMMR,25.01,24.98,25.01,1000.0,2020500.0,2253000.0,,0,0,51,2026-02-04 11:45:30.517135
ATMN,25.21,25.18,25.2,,2152600.0,2085000.0,2625.0,0,0,51,2026-02-04 11:45:30.517135
WNTR,25.01,25.01,25.1,5000.0,2015300.0,2134400.0,,0,0,51,2026-02-04 11:45:30.517135
