ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CALG-1,BUY_UEBR-1,BUY_BRCH-1,BUY_LAVL-1,SELL_CHUL-2,SELL_GIOT-3,SELL_CHUL-4,BUY_CHUL-4,SELL_CHUL-3,BUY_CALG-1,SELL_ZUAI-3,BUY_WRSW-4,SELL_LUIS-1,SELL_WRSW-4,SELL_NAIT-4,BUY_CHUL-2,SELL_CHUL-1,BUY_WRSW-1,BUY_CHUL-1,SELL_LAVL-1,BUY_GIOT-3,SELL_UEBR-1,SELL_WRSW-1,BUY_WRSW-3,SELL_WRSW-3,BUY_NAIT-4,SELL_CALG-6,SELL_COLA-1,BUY_CALG-6,BUY_COLA-1,SELL_BRCH-1,BUY_ZUAI-3,BUY_CHUL-3,BUY_LUIS-1,tick,timestamp
WNTR,25.04,24.89,24.98,5967.0,2150000.0,2313200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-07 08:03:18.686302
SPNG,25.17,24.76,24.84,2125600.0,1969900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-07 08:03:19.778425
SMMR,25.09,25.09,25.1,1962600.0,1998300.0,3018.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-07 08:03:19.778425
ATMN,25.4,24.84,25.4,2191600.0,2272100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-07 08:03:19.778425
WNTR,25.13,24.88,24.99,2252500.0,2336300.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-07 08:03:19.778425
SPNG,25.04,25.05,25.16,2330.0,1899300.0,670.0,1865700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-07 08:03:20.653232
SMMR,25.14,25.08,25.14,2000.0,1832400.0,,2116700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-07 08:03:20.653232
ATMN,25.38,24.89,24.94,,2084400.0,1730.0,2189500.0,2266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-07 08:03:20.653232
WNTR,25.13,24.91,24.99,,2276700.0,,2307900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-07 08:03:20.653232
SPNG,25.18,24.76,25.17,1190.0,1902800.0,1180.0,1848100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-07 08:03:21.719235
SMMR,24.79,24.79,25.13,,1947200.0,330.0,1907700.0,9419.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-07 08:03:21.719235
ATMN,24.94,25.02,25.29,1380.0,1750000.0,2950.0,2038000.0,,2266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-07 08:03:21.719235
WNTR,24.97,24.98,24.99,,2277400.0,,2318200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-07 08:03:21.719235
SPNG,24.83,24.83,25.13,2040500.0,300.0,100.0,3540.0,1555800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-07 08:03:22.783262
SMMR,25.16,24.87,25.16,1961600.0,560.0,,,2135500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-07 08:03:22.783262
ATMN,25.4,25.03,25.4,1548200.0,2160.0,,1730.0,2142300.0,11673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-07 08:03:22.783262
WNTR,24.99,24.96,24.99,2286900.0,,,,2333700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-07 08:03:22.783262
SPNG,25.18,24.91,25.16,7159.0,4060.0,1580600.0,600.0,100.0,1689600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-07 08:03:23.875305
SMMR,24.94,24.91,24.94,,3680.0,1680500.0,960.0,,2056500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-07 08:03:23.875305
ATMN,25.4,25.24,25.25,16853.0,6160.0,1275100.0,2130.0,3177.0,1798900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-07 08:03:23.875305
WNTR,25.0,24.98,25.0,10000.0,,2154400.0,,,2325100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-07 08:03:23.875305
SPNG,25.05,24.83,24.96,2136500.0,1882100.0,1340.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-07 08:03:24.984629
SMMR,24.94,24.93,24.94,1478100.0,1845600.0,1600.0,5040.0,4749.0,9499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-07 08:03:24.984629
ATMN,25.4,25.26,25.4,1144900.0,2178000.0,1730.0,12160.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-07 08:03:24.984629
WNTR,24.99,24.96,24.99,2280200.0,2336900.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-07 08:03:24.984629
SPNG,24.96,24.85,24.96,1100.0,1810000.0,100.0,1799100.0,100.0,1340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-07 08:03:26.070052
SMMR,24.94,24.97,25.11,5040.0,1369900.0,14365.0,2033300.0,,960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-07 08:03:26.070052
ATMN,25.4,25.27,25.38,12160.0,1047000.0,9336.0,2025700.0,5970.0,1730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-07 08:03:26.070052
WNTR,24.99,24.96,24.98,,2277600.0,,2219000.0,10000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-07 08:03:26.070052
SPNG,24.96,24.85,24.9,1100.0,1806800.0,100.0,2300.0,200.0,1607100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-07 08:03:26.662948
SMMR,25.11,25.12,25.19,8620.0,1137000.0,14365.0,,,2128300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-07 08:03:26.662948
ATMN,25.32,25.28,25.32,16160.0,825000.0,9336.0,1730.0,5970.0,2050100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-07 08:03:26.662948
WNTR,25.06,25.05,25.06,,2295800.0,,,,2349000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-07 08:03:26.662948
SPNG,25.27,24.97,25.27,2012900.0,100.0,1942700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-07 08:03:27.725646
SMMR,24.93,24.93,25.2,1870200.0,14365.0,2138300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-07 08:03:27.725646
ATMN,25.21,25.21,25.32,2245500.0,,2153100.0,5970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-07 08:03:27.725646
WNTR,25.07,24.94,25.07,2169400.0,7888.0,2350000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-07 08:03:27.725646
SPNG,24.97,24.97,25.13,1891100.0,200.0,1955500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-07 08:03:28.793906
SMMR,24.97,24.97,25.04,1876500.0,14365.0,2032400.0,6826.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-07 08:03:28.793906
ATMN,25.44,25.11,25.44,2210000.0,,2262300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-07 08:03:28.793906
WNTR,25.07,24.97,25.07,2090800.0,17888.0,2335200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-07 08:03:28.793906
SPNG,24.71,25.04,25.13,2131800.0,1955500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-07 08:03:29.853288
SMMR,25.04,24.93,25.04,2082300.0,2157400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-07 08:03:29.853288
ATMN,25.33,25.02,25.25,2230700.0,2259600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-07 08:03:29.853288
WNTR,24.99,24.91,24.99,2299900.0,2325200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-07 08:03:29.853288
SPNG,24.9,25.06,25.09,1000.0,2022300.0,10000.0,1845600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-07 08:03:30.908725
SMMR,25.04,25.13,25.14,,1992700.0,,2126600.0,901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-07 08:03:30.908725
ATMN,25.45,25.01,25.45,,2245500.0,,2293300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-07 08:03:30.908725
WNTR,24.97,24.93,24.96,,2190500.0,8440.0,2210600.0,6084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-07 08:03:30.908725
SPNG,25.13,24.86,25.13,415.0,2037500.0,1945700.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-07 08:03:31.957564
SMMR,25.13,24.99,25.01,,1865000.0,2032900.0,8422.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-07 08:03:31.957564
ATMN,25.45,25.41,25.43,2330.0,1895900.0,2062100.0,9836.0,415.0,670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-07 08:03:31.957564
WNTR,24.97,24.94,24.96,,2080100.0,2210600.0,11679.0,8440.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-07 08:03:31.957564
SPNG,24.98,25.01,25.11,7560.0,1579200.0,100.0,700.0,1843200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-07 08:03:33.021151
SMMR,25.0,25.09,25.14,4270.0,1575700.0,8422.0,,2022100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-07 08:03:33.021151
ATMN,25.45,25.45,25.53,4900.0,1700300.0,,470.0,2060500.0,9936.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-07 08:03:33.021151
WNTR,25.13,24.91,25.13,,2305700.0,,,2303600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-07 08:03:33.021151
SPNG,25.15,25.03,25.15,4625.0,1686700.0,100.0,1965500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-07 08:03:33.674080
SMMR,25.08,25.1,25.13,3640.0,1460000.0,8422.0,1804000.0,300.0,6894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-07 08:03:33.674080
ATMN,25.01,25.01,25.49,,2245500.0,,1802100.0,2560.0,9936.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-07 08:03:33.674080
WNTR,24.87,24.88,25.13,,2270900.0,,2303600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-07 08:03:33.674080
SPNG,24.84,25.0,25.12,1020.0,1814200.0,100.0,1490.0,100.0,1756700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-07 08:03:34.762126
SMMR,25.04,25.05,25.13,2700.0,1583200.0,8422.0,300.0,6894.0,1810100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-07 08:03:34.762126
ATMN,25.56,25.02,25.56,1290.0,2153800.0,,,,2170900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-07 08:03:34.762126
WNTR,24.87,24.88,24.9,,2318000.0,,,100.0,2226100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-07 08:03:34.762126
SPNG,24.76,24.71,24.74,2146300.0,3860.0,1685800.0,100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-07 08:03:35.826980
SMMR,25.16,25.05,25.13,1767200.0,3380.0,1916200.0,,2700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-07 08:03:35.826980
ATMN,25.56,25.47,25.55,1702000.0,300.0,2170900.0,,5950.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-07 08:03:35.826980
WNTR,24.9,24.88,24.9,2307600.0,,2226100.0,1551.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-07 08:03:35.826980
SPNG,24.76,24.71,24.76,2175000.0,1854800.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-07 08:03:36.913181
SMMR,25.08,24.93,24.95,2082300.0,1901500.0,10000.0,4782.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-07 08:03:36.913181
