ticker,last_price,bid_price,ask_price,BUY_WRSW-3,BUY_ANON,SELL_WRSW-3,SELL_ANON,BUY_UEBR-2,BUY_GIOT-3,SELL_WRSW-5,BUY_LUIS-1,SELL_UOTB-2,SELL_DUBL-5,SELL_BRCH-3,BUY_LAVL-1,BUY_BRCH-3,BUY_UEBR-1,BUY_WRSW-6,SELL_BABS-4,SELL_LETH-1,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,SELL_WRSW-6,SELL_COLA-3,BUY_WRSW-5,SELL_CNCD-1,BUY_CNCD-1,BUY_COLA-1,BUY_WRSW-4,SELL_UOTB-3,SELL_HECM-3,SELL_NAIT-1,BUY_LETH-1,BUY_WRSW-2,SELL_WRSW-1,BUY_CNCD-5,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_BRCH-2,SELL_UOTB-1,BUY_COLA-3,SELL_LAVL-1,BUY_BRCH-1,SELL_UEBR-1,SELL_GIOT-3,BUY_UOTB-3,BUY_DUBL-5,BUY_BABS-4,BUY_CAMN-1,SELL_CNCD-5,BUY_COLB-2,SELL_WRSW-2,SELL_UEBR-2,SELL_CAMN-1,SELL_WRSW-4,BUY_HECM-3,SELL_BRCH-2,tick,timestamp
ATMN,24.94,24.94,24.95,1928000.0,9998.0,6000.0,710.0,1761600.0,,15096.0,,,250.0,3240.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 10:57:06.142955
WNTR,24.97,24.94,24.97,2064600.0,100.0,,,101800.0,,12000.0,5000.0,770.0,2431.0,3240.0,11200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 10:57:06.142955
SPNG,25.18,24.87,24.92,4200.0,679.0,1651100.0,1371.0,1400.0,2094300.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 10:57:07.194514
SMMR,24.9,24.92,24.93,,740.0,1254300.0,16119.0,,717700.0,2656.0,4000.0,15131.0,7000.0,6000.0,740.0,2072.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 10:57:07.194514
ATMN,24.93,24.93,24.94,,710.0,2085200.0,,,1387700.0,2072.0,,25096.0,,250.0,710.0,3692.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 10:57:07.194514
WNTR,24.97,24.99,25.01,2800.0,770.0,1037500.0,4994.0,2800.0,1671600.0,1036.0,4000.0,1127.0,1000.0,6000.0,770.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 10:57:07.194514
SPNG,24.98,24.98,24.99,9800.0,6000.0,3240.0,100.0,990600.0,1900.0,2800.0,1620.0,1752400.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 10:57:08.247369
SMMR,24.9,24.92,24.93,,,2656.0,,1479400.0,6000.0,,2072.0,1329200.0,4000.0,740.0,4000.0,740.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 10:57:08.247369
ATMN,24.9,24.91,24.95,1400.0,,2072.0,8981.0,1861400.0,,1400.0,1620.0,1878900.0,,710.0,,710.0,904.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 10:57:08.247369
WNTR,25.0,25.0,25.02,2800.0,5500.0,2072.0,9418.0,1184800.0,,,,2007000.0,3000.0,770.0,1000.0,770.0,1363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 10:57:08.247369
SPNG,24.98,24.98,24.99,9800.0,6000.0,3240.0,679.0,200.0,785100.0,4661.0,3240.0,1400.0,599.0,1674300.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 10:57:09.326159
SMMR,24.98,24.98,24.99,,6000.0,4066.0,740.0,9694.0,1131700.0,,2446.0,6000.0,740.0,1767200.0,4000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 10:57:09.326159
ATMN,24.94,24.94,24.95,,,2072.0,,8854.0,2093400.0,10378.0,1620.0,6000.0,710.0,1511100.0,,2800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 10:57:09.326159
WNTR,24.94,24.94,25.01,,,2072.0,,,2075100.0,11278.0,,1000.0,651.0,1577100.0,,,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 10:57:09.326159
SPNG,24.75,24.98,25.18,1400.0,2087700.0,2208100.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 10:57:10.025586
SMMR,24.99,24.99,25.09,2800.0,661600.0,2049700.0,7000.0,6000.0,4066.0,9694.0,1400.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 10:57:10.025586
ATMN,24.99,24.94,24.99,,1982900.0,2223800.0,,,3854.0,8854.0,,1620.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 10:57:10.025586
WNTR,25.0,25.08,25.1,5600.0,1168500.0,1695000.0,3000.0,5500.0,1036.0,,2800.0,,770.0,3000.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 10:57:10.025586
SPNG,24.97,24.98,25.03,2800.0,6000.0,3240.0,666.0,1561600.0,2800.0,2005900.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 10:57:11.078282
SMMR,25.02,25.04,25.07,7000.0,6000.0,2446.0,740.0,195100.0,7000.0,1105200.0,7000.0,19694.0,100.0,3000.0,630.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 10:57:11.078282
ATMN,24.95,24.94,24.95,,4850.0,3854.0,710.0,1677800.0,1400.0,2008100.0,,8854.0,,,710.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 10:57:11.078282
WNTR,24.94,24.94,25.0,,,1036.0,,2075100.0,5600.0,748000.0,1000.0,,5498.0,5000.0,770.0,6000.0,2494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 10:57:11.078282
SPNG,24.97,24.97,25.2,6000.0,2800.0,1886900.0,4200.0,679.0,1798900.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 10:57:12.152009
SMMR,24.91,24.91,25.09,,,2175100.0,4200.0,740.0,1537000.0,1620.0,2000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 10:57:12.152009
ATMN,24.89,24.88,24.89,,,2142300.0,1400.0,,2015500.0,2067.0,,710.0,100.0,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 10:57:12.152009
WNTR,25.01,25.03,25.08,6000.0,4200.0,1385000.0,7000.0,,863000.0,1036.0,6000.0,,,,3000.0,2494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 10:57:12.152009
SPNG,24.7,24.91,25.28,1400.0,2134300.0,2800.0,1980400.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 10:57:13.226188
SMMR,24.91,24.97,24.98,2800.0,1643600.0,7000.0,789400.0,2000.0,1620.0,630.0,740.0,5858.0,5000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 10:57:13.226188
ATMN,24.89,24.91,24.94,1400.0,1944600.0,1400.0,1665500.0,,3098.0,710.0,710.0,100.0,,6000.0,2062.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 10:57:13.226188
WNTR,25.0,24.98,25.0,1400.0,1698500.0,7000.0,498800.0,1000.0,1036.0,651.0,770.0,5642.0,7000.0,,2791.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 10:57:13.226188
SPNG,24.97,24.71,24.84,1400.0,670.0,1978600.0,5600.0,6000.0,3240.0,1477700.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 10:57:14.296394
SMMR,24.97,24.97,25.01,2800.0,740.0,1422900.0,2800.0,6000.0,,1410300.0,3000.0,500.0,1620.0,3000.0,740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 10:57:14.296394
ATMN,25.13,24.92,25.12,7000.0,710.0,1426600.0,1400.0,,,2312100.0,,,3098.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 10:57:14.296394
WNTR,25.0,24.97,25.0,,651.0,1828300.0,2800.0,,4335.0,1082300.0,1000.0,6000.0,1036.0,5000.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 10:57:14.296394
SPNG,24.7,25.09,25.18,1400.0,2095400.0,7000.0,3240.0,1484700.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 10:57:15.357802
SMMR,25.15,25.04,25.05,4200.0,966800.0,,,2071300.0,9451.0,5000.0,500.0,740.0,1620.0,9451.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 10:57:15.357802
ATMN,24.96,24.95,24.96,,2062700.0,2800.0,3076.0,1813000.0,,,,,5143.0,100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 10:57:15.357802
WNTR,24.98,24.98,24.99,,1275000.0,,4335.0,1315800.0,9667.0,4000.0,6000.0,,3012.0,,770.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 10:57:15.357802
SPNG,24.91,24.65,24.91,2105200.0,508.0,7600.0,9800.0,4421.0,679.0,1620.0,868400.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 10:57:16.435667
SMMR,25.15,25.09,25.11,618300.0,18852.0,7497.0,5600.0,,,,1537100.0,740.0,5600.0,6000.0,6000.0,1620.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 10:57:16.435667
ATMN,24.84,24.84,24.95,2501300.0,,9288.0,,6000.0,710.0,3076.0,1676700.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 10:57:16.435667
WNTR,24.99,24.99,25.0,917800.0,19283.0,5518.0,,,,2791.0,1802000.0,,,6000.0,6000.0,3012.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 10:57:16.435667
SPNG,24.84,25.18,25.27,1923000.0,2800.0,1171.0,1400.0,2121900.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-06 10:57:17.495519
SMMR,25.03,25.12,25.13,1418600.0,2800.0,2337.0,1400.0,1550000.0,4000.0,1620.0,4674.0,2000.0,1842.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-06 10:57:17.495519
